campaign,target,bench,model,criterion,value,stderr,n_samples,extras_json
0em-bump-opus47-humaneval-v2-2026-05-14,opus47,humaneval-plus,bedrock/us.anthropic.claude-opus-4-7,pass@1/extract_code,1.000000,0.000000,10,"{""n_samples"": 10, ""task_id"": ""humaneval_plus_chat""}"
0em-bump-opus47-ifeval-2026-05-14,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,prompt_level_strict_acc,0.850000,0.081918,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-bump-opus47-ifeval-2026-05-14,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,inst_level_strict_acc,0.900000,,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-bump-opus47-ifeval-2026-05-14,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,prompt_level_loose_acc,0.950000,0.050000,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-bump-opus47-ifeval-2026-05-14,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,inst_level_loose_acc,0.966667,,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-restore-gpt55-bcb-hard-2026-05-14,gpt55,bigcodebench-hard,gpt-5.5,pass@1_calibrated,0.351351,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
0em-restore-gpt55-humaneval-2026-05-14,gpt55,humaneval-plus,openai/gpt-5.5,pass@1/extract_code,1.000000,0.000000,10,"{""n_samples"": 10, ""task_id"": ""humaneval_plus_chat""}"
0em-restore-gpt55-ifeval-2026-05-14,gpt55,ifeval,openai/gpt-5.5,prompt_level_strict_acc,1.000000,0.000000,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-restore-gpt55-ifeval-2026-05-14,gpt55,ifeval,openai/gpt-5.5,inst_level_strict_acc,1.000000,,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-restore-gpt55-ifeval-2026-05-14,gpt55,ifeval,openai/gpt-5.5,prompt_level_loose_acc,0.950000,0.050000,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
